City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
301,Xining,36.6167,101.7667,69.6,77,100,0.92,CN,overcast clouds
302,Vardo,70.3705,31.1107,53.58,71,75,31.07,NO,broken clouds
303,Coos Bay,43.3665,-124.2179,61.0,97,100,4.61,US,overcast clouds
304,Comodoro Rivadavia,-45.8667,-67.5,55.26,44,20,24.16,AR,few clouds
305,Kaseda,31.4167,130.3167,81.93,86,85,5.3,JP,overcast clouds
306,Georgetown,5.4112,100.3354,85.95,74,20,2.3,MY,few clouds
307,Sawakin,19.1059,37.3321,99.16,48,76,12.39,SD,broken clouds
308,Miles City,46.4083,-105.8406,72.57,68,0,3.44,US,clear sky
309,Antalaha,-14.9003,50.2788,70.7,77,33,10.89,MG,scattered clouds
310,Hauterive,46.0901,3.4459,93.96,12,0,7.0,FR,clear sky
311,Qorveh,35.1664,47.8045,90.48,15,87,16.64,IR,overcast clouds
312,Vostok,46.4856,135.8833,52.48,96,13,4.52,RU,few clouds
313,Marawi,7.9986,124.2928,69.37,95,100,1.54,PH,heavy intensity rain
314,Quatre Cocos,-20.2078,57.7625,69.1,69,40,19.82,MU,light rain
315,Kasangulu,-4.5911,15.1708,79.68,20,59,5.66,CD,broken clouds
316,Kyra,49.5776,111.9753,53.42,74,51,4.76,RU,broken clouds
317,Tunduma,-9.3,32.7667,72.28,27,2,10.69,TZ,clear sky
318,Codrington,-38.2667,141.9667,43.88,96,58,10.2,AU,broken clouds
319,Doha,25.2867,51.5333,109.71,37,99,8.05,QA,overcast clouds
320,Bethel,41.3712,-73.414,75.76,57,0,13.8,US,clear sky
321,Alofi,-19.0595,-169.9187,73.29,94,34,5.75,NU,scattered clouds
322,Margate,51.3813,1.3862,85.1,71,0,5.99,GB,clear sky
323,Caorle,45.5966,12.8758,82.24,38,30,7.83,IT,scattered clouds
324,Namibe,-15.1961,12.1522,67.77,77,33,11.88,AO,scattered clouds
325,Aykhal,66.0,111.5,44.13,80,100,18.07,RU,overcast clouds
326,Oyama,36.3,139.8,84.58,72,100,13.02,JP,light rain
327,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.89,79,40,12.21,BR,scattered clouds
328,Hailey,43.5196,-114.3153,74.88,67,40,11.5,US,scattered clouds
329,Basi,26.8333,76.0333,79.14,77,82,6.82,IN,moderate rain
330,Tautira,-17.7333,-149.15,77.32,72,38,19.37,PF,scattered clouds
331,Zhezkazgan,47.8043,67.7144,84.18,28,40,8.95,KZ,scattered clouds
332,Acajutla,13.5928,-89.8275,82.11,69,83,3.29,SV,broken clouds
333,Abasolo,20.45,-101.5167,66.45,67,100,3.6,MX,overcast clouds
334,Ileza,61.0533,43.9002,71.22,48,48,10.25,RU,scattered clouds
335,Cockburn Town,21.4612,-71.1419,81.97,76,81,15.61,TC,broken clouds
336,Hanzhong,33.0728,107.0303,81.25,70,2,3.56,CN,clear sky
337,Altar,30.7,-111.8167,85.55,52,66,6.44,MX,broken clouds
338,Rumonge,-3.9736,29.4386,81.16,47,11,3.78,BI,few clouds
339,Augusto Correa,-1.0217,-46.635,88.14,57,13,9.04,BR,few clouds
340,Saint-Augustin,51.226,-58.6502,68.32,77,87,16.42,CA,overcast clouds
341,Boali,4.8005,18.1275,81.03,79,84,4.7,CF,light rain
342,Bonavista,48.6499,-53.1147,61.83,83,89,8.86,CA,overcast clouds
343,Kindu,-2.95,25.95,95.85,21,77,2.1,CD,broken clouds
344,Tiarei,-17.5333,-149.3333,77.02,74,20,19.53,PF,few clouds
345,Vila Velha,-20.3297,-40.2925,78.75,66,20,14.97,BR,few clouds
346,Uvat,59.1433,68.8953,57.97,93,36,5.7,RU,scattered clouds
